var0;var1;formula;unifs_propOriginal;unifs_prop
_;true;Var (S (O))
true;_;Var (O)
_;false;Neg (Var (S (O)))
false;_;Neg (Var (O))
_;true;Neg (Neg (Var (S (O))))
true;_;Neg (Neg (Var (O)))
_;false;Neg (Neg (Neg (Var (S (O)))))
false;_;Neg (Neg (Neg (Var (O))))
_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
true;_;Neg (Neg (Neg (Neg (Var (O)))))
false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
false;false;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
false;_;Neg (Neg (Neg (Conj (Var (O), Var (O)))))
true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
true;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
true;false;Neg (Neg (Disj (Var (O), Var (S (O)))))
false;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
true;_;Neg (Neg (Disj (Var (O), Var (O))))
true;_;Neg (Neg (Disj (Var (O), Neg (Var (O)))))
_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
true;_;Neg (Neg (Conj (Var (O), Var (O))))
true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
_;false;Neg (Disj (Var (S (O)), Var (S (O))))
false;false;Neg (Disj (Var (S (O)), Var (O)))
true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (O))))
false;false;Neg (Disj (Var (O), Var (S (O))))
false;_;Neg (Disj (Var (O), Var (O)))
false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
false;true;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
false;false;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
_;false;Neg (Conj (Var (S (O)), Var (S (O))))
true;false;Neg (Conj (Var (S (O)), Var (O)))
false;true;Neg (Conj (Var (S (O)), Var (O)))
false;false;Neg (Conj (Var (S (O)), Var (O)))
_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
false;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
true;false;Neg (Conj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
false;true;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
false;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
true;false;Neg (Conj (Var (O), Var (S (O))))
false;true;Neg (Conj (Var (O), Var (S (O))))
false;false;Neg (Conj (Var (O), Var (S (O))))
false;_;Neg (Conj (Var (O), Var (O)))
true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
true;_;Neg (Conj (Var (O), Neg (Var (O))))
false;_;Neg (Conj (Var (O), Neg (Var (O))))
false;false;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
false;_;Neg (Conj (Var (O), Neg (Neg (Var (O)))))
